1633129205;869170033930471;0.45;0.95
1633129206;869170033935751;0.57;0.87
1633129209;869170033931073;0.97;1.37
1633129209;869170034045121;0.19;0.29
1633129210;869170034081928;0.07;1.4
1633129210;869170034044686;0.13;1.7
1633129211;869170034050550;0.48;0.91
1633129214;869170033895328;0.57;0.83
1633129222;869170034050733;0.65;0.77
1633129223;869170034063280;0.4;1.08
1633129224;869170034052879;0.22;0.88
1633129225;869170033930653;0.17;0.85
1633129227;869170034086034;1.3;2.37
1633129230;869170033930810;0.28;1.18
1633129233;869170033935751;0.33;1.4
1633129234;869170033930620;1.48;1.98
1633129236;869170034045121;0.07;0.47
1633129238;869170034050550;0.49;1.32
1633129240;869170033930471;0.3;0.86
1633129241;869170033895328;0.33;0.8
1633129245;869170034044686;0.27;1.47
1633129251;869170033931073;0.97;1.78
1633129258;869170034063280;0.45;1.15
1633129260;869170034052879;0.18;0.38
1633129260;869170033930653;0.13;0.87
1633129260;869170033935751;0.23;1.0
1633129263;869170034045121;0.1;0.23
1633129265;869170034050550;0.53;1.43
1633129265;869170033930810;0.45;1.0
1633129266;869170033930547;0.1;0.27
1633129268;869170033895328;0.47;1.3
1633129268;869170034081928;0.35;0.78
1633129268;869170034086034;0.58;1.27
1633129270;869170033930620;1.0;1.53
1633129276;869170033930471;0.48;0.95
1633129283;869170034050733;0.72;1.02
1633129286;869170033931073;0.87;1.75
1633129293;869170034063280;0.45;1.12
1633129294;869170034045121;0.08;0.68
1633129295;869170034052879;0.6;1.05
1633129300;869170033930810;0.17;0.63
1633129303;869170034081928;0.06;0.71
1633129303;869170033895328;0.25;0.68
1633129303;869170034086034;0.98;1.54
1633129305;869170033930471;0.28;0.68
1633129305;869170033930620;0.7;1.65
1633129308;869170034044686;0.32;1.05
1633129316;869170034050550;0.27;0.43
1633129318;869170034050733;0.33;0.83
1633129319;869170033930653;0.25;1.02
1633129321;869170033931073;1.02;1.55
1633129329;869170034045121;0.03;0.51
1633129335;869170033930810;0.05;0.4
1633129337;869170034081928;0.45;0.97
1633129338;869170033935751;0.23;0.47
1633129339;869170034086034;1.35;1.93
1633129340;869170033930620;1.43;1.67
1633129342;869170034050550;0.07;0.07
1633129343;869170034044686;0.2;1.32
1633129346;869170034052879;0.48;0.97
1633129352;869170034063280;0.57;0.77
1633129353;869170034050733;0.72;0.95
1633129354;869170033930653;0.5;1.25
1633129356;869170033931073;0.71;1.38
1633129361;869170033930471;0.23;0.9
1633129362;869170033895328;0.42;0.9
1633129365;869170033935751;0.07;0.33
1633129367;869170034081928;0.17;0.87
1633129369;869170034050550;0.17;0.4
1633129374;869170034086034;0.97;1.58
1633129375;869170033930620;1.75;2.23
1633129378;869170034044686;0.22;0.85
1633129378;869170033930547;0.05;0.25
1633129381;869170034052879;0.27;1.08
1633129388;869170034063280;0.3;1.07
1633129388;869170034050733;0.48;0.98
1633129390;869170033930653;0.15;0.25
1633129392;869170033935751;0.17;1.17
1633129394;869170034081928;0.17;0.7
1633129395;869170033930810;0.47;1.43
1633129396;869170034050550;0.47;0.57
1633129396;869170033895328;0.21;0.54
1633129397;869170033930471;0.2;0.7
1633129413;869170034044686;0.28;1.22
1633129414;869170033931073;1.0;1.3
1633129417;869170033930711;0.69;1.38
1633129417;869170034052879;0.42;1.04
1633129419;869170033935751;0.3;1.1
1633129422;869170033930547;0.17;0.5
1633129423;869170034063280;0.15;1.25
1633129423;869170034050550;1.07;1.77
1633129423;869170034050733;0.53;1.13
1633129425;869170033930653;0.39;0.89
1633129430;869170033895328;0.5;0.91
1633129430;869170033930810;0.15;0.57
1633129433;869170033930471;0.08;0.47
1633129437;869170034086034;1.08;1.65
1633129439;869170033930620;1.17;2.15
1633129443;869170034081928;0.42;2.08
1633129449;869170033931073;0.43;1.5
1633129453;869170034052879;0.47;0.73
1633129454;869170034044686;0.17;1.48
1633129458;869170034063280;0.38;1.15
1633129458;869170034045121;0.08;0.27
1633129461;869170033930653;0.25;0.65
1633129465;869170033895328;0.58;1.5
1633129466;869170033930810;0.15;0.33
1633129468;869170033930471;0.03;0.42
1633129469;869170033935751;0.07;0.33
1633129472;869170034086034;0.63;1.25
1633129473;869170034050550;0.7;1.3
1633129477;869170034081928;0.37;0.55
1633129483;869170033930620;1.33;2.27
1633129485;869170034050733;0.98;1.22
1633129489;869170034052879;0.57;1.17
1633129493;869170034063280;0.52;0.92
1633129494;869170033930547;0.07;0.3
1633129494;869170034045121;0.43;1.29
1633129496;869170033935751;0.03;0.9
1633129500;869170034050550;0.47;0.97
1633129500;869170033895328;0.47;1.1
1633129504;869170033930471;0.13;0.43
1633129505;869170033931073;0.43;1.87
1633129508;869170034086034;0.29;0.64
1633129508;869170033930810;0.3;0.88
1633129512;869170034081928;0.2;0.65
1633129520;869170033930653;0.23;0.83
1633129520;869170034050733;0.78;1.28
1633129523;869170033935751;0.15;0.38
1633129523;869170033930711;0.19;1.09
1633129525;869170034044686;0.17;0.93
1633129527;869170033930620;1.85;2.68
1633129527;869170034050550;0.53;0.9
1633129529;869170034045121;0.07;0.32
1633129529;869170033930547;0.03;0.03
1633129532;869170033931073;0.63;0.83
1633129537;869170034052879;0.43;0.83
1633129543;869170034086034;0.48;1.22
1633129547;869170034081928;0.43;1.18
1633129551;869170033930810;0.28;0.87
1633129554;869170034050550;0.4;1.57
1633129555;869170033930653;0.37;1.28
1633129555;869170034050733;0.5;0.9
1633129560;869170034063280;0.29;0.9
1633129560;869170034044686;0.1;0.77
1633129560;869170033895328;0.45;0.7
1633129564;869170033930471;0.32;0.53
1633129570;869170033930620;0.95;1.77
1633129572;869170034052879;0.37;0.37
1633129577;869170033935751;0.17;0.27
1633129579;869170034086034;0.37;0.57
1633129581;869170034050550;0.33;1.2
1633129584;869170033931073;0.6;0.73
1633129587;869170034045121;0.15;1.0
1633129590;869170033930653;0.4;1.03
1633129591;869170034081928;0.6;1.47
1633129591;869170034050733;0.75;1.42
1633129595;869170034044686;0.32;1.06
1633129595;869170034063280;0.4;0.73
1633129596;869170033895328;0.23;0.82
1633129600;869170033930471;0.3;1.0
1633129608;869170034052879;0.75;1.28
1633129611;869170033931073;0.33;1.2
1633129613;869170033930620;0.78;1.32
1633129617;869170033930810;0.28;0.45
1633129620;869170033930711;0.36;1.18
1633129621;869170034045121;0.43;0.75
1633129623;869170033930547;0.08;0.4
1633129626;869170033930653;0.13;0.31
1633129627;869170034050733;0.68;0.95
1633129627;869170033935751;0.28;1.12
1633129630;869170034044686;0.33;1.28
1633129630;869170034063280;0.07;0.2
1633129632;869170034050550;0.6;0.6
1633129635;869170033895328;0.32;0.92
1633129636;869170033930471;0.16;0.77
1633129637;869170034086034;0.42;1.22
1633129638;869170033931073;0.56;1.38
1633129643;869170034052879;0.34;0.46
1633129656;869170034045121;0.1;0.93
1633129656;869170034081928;0.43;1.48
1633129658;869170033930547;0.08;0.38
1633129659;869170034050550;0.77;1.03
1633129660;869170033930810;0.1;0.73
1633129661;869170034044686;0.1;0.6
1633129661;869170033930653;0.08;0.43
1633129665;869170034063280;0.13;0.32
1633129665;869170033931073;0.63;0.83
1633129671;869170033930471;0.12;0.37
1633129672;869170034086034;0.25;0.47
1633129678;869170033895328;0.48;0.92
1633129679;869170034052879;0.96;0.98
1633129682;869170033930620;1.13;2.15
1633129686;869170034050550;0.67;0.83
1633129689;869170034050733;0.48;0.65
1633129690;869170033930711;0.3;0.55
1633129691;869170034081928;0.4;1.72
1633129691;869170034045121;0.18;0.52
1633129692;869170033931073;0.55;0.78
1633129696;869170033930810;0.13;0.13
1633129697;869170033935751;0.1;0.38
1633129700;869170034063280;0.12;0.42
1633129707;869170034086034;0.31;0.98
1633129707;869170033930471;0.2;0.7
1633129712;869170034044686;0.47;1.12
1633129713;869170034050550;0.27;0.7
1633129721;869170033930653;0.65;0.97
1633129721;869170033895328;0.67;1.35
1633129723;869170034050733;0.92;1.05
1633129725;869170033930711;0.4;0.95
1633129726;869170034045121;0.15;0.73
1633129726;869170034081928;0.17;1.1
1633129726;869170033930620;0.93;1.27
1633129728;869170033930547;0.1;0.43
1633129732;869170034052879;0.35;1.2
1633129738;869170033935751;0.22;0.75
1633129740;869170034050550;0.17;0.67
1633129743;869170034086034;0.38;0.48
1633129743;869170033931073;0.67;1.55
1633129756;869170033930653;0.4;0.62
1633129758;869170034050733;0.68;0.82
1633129759;869170033930810;0.3;0.47
1633129761;869170034081928;0.35;1.3
1633129761;869170034063280;0.37;0.93
1633129766;869170034052879;0.29;1.12
1633129767;869170033930471;0.17;0.43
1633129769;869170033930620;2.28;3.47
1633129771;869170034044686;0.58;1.25
1633129777;869170034086034;0.5;0.93
1633129779;869170033931073;0.55;1.35
1633129781;869170033935751;0.27;0.98
1633129784;869170034045121;0.23;1.32
1633129787;869170033930547;0.07;0.45
1633129787;869170033895328;0.33;1.1
1633129790;869170034050550;0.23;0.58
1633129792;869170033930653;0.13;1.05
1633129793;869170034050733;0.82;1.42
1633129796;869170034081928;0.66;1.09
